State.Abb	State	Year	Geography	pop_mi	r_gdp	pc_rgdp	m_gdp	coal	petro	gas	resid	comm	indust	electric	transport	pc_CO2	PVG	Party	cdays	hdays	m_cdd	m_hdd	senate	house	lcv	m_lcv	price	m_price	expend	m_expend	LandArea	pdensity	mp_density	coal_con	petro_con	gas_con	energy_con	pc_energy	pc_coal	pc_petro	pc_gas	pc_comm	pc_res	pc_ind	pc_elec	pc_trans	pc_coal_con	pc_petro_con	pc_gas_con	in_class	HDD	CDD	HL_Price	HL_Expend	HL_LCV	HL_density
AL	Alabama	2007	Coastal	4.673	189003	40445	50533.24	84.6	40.1	22.5	2.4	2	20.5	86.7	35.7	31.5	-25.7955427	Rep	2173	2517	1228.26	5164.58	10	29	39	105.14	16.06	18.4852	4561.5	4448.66274509804	50645	92.2697206042057	191.656045482065	888436	601179	430649	1920264	410	18.1040017119623	8.58121121335331	4.81489407233041	0.427990584207147	0.513588701048577	4.38690348812326	18.5533918253798	7.63963192809758	190.121121335331	128.649475711534	92.1568585491119	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2008	Coastal	4.718	186947	39624	50263.36	80.3	37.4	21.6	2.5	2	20.1	81.8	32.9	29.5	-25.7955427	Rep	1844	2803	1077.4	5484.22	18	31	49	113	19.22	21.6806	5173.6	5054.39411764706	50645	93.1582584657913	192.886972390763	842826	566323	414260	1823409	386	17.0199236964816	7.92708774904621	4.57821110640102	0.423908435777872	0.52988554472234	4.26027977956761	17.337855023315	6.97329376854599	178.64052564646	120.034548537516	87.8041543026706	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2009	Coastal	4.758	180707	37979	48722.68	60.1	35.3	24.4	2.5	1.9	16.4	67	32	25.2	-21.78180551	Rep	1823	2793	1018.6	5450.84	14	26	40	121.62	16.55	17.508	3887.7	3821.13725490196	50645	93.9480698983118	194.082993440119	630969	517082	466272	1614323	339	12.6313577133249	7.41908364859184	5.12820512820513	0.399327448507776	0.525430853299706	3.44682639764607	14.0815468684321	6.72551492223623	132.612232030265	108.676334594367	97.9974779319042	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2010	Coastal	4.786	184702	38592	49301.36	68.5	35.5	28.6	2.9	2.1	17.8	77.4	32.3	27.7	-21.78180551	Rep	2293	3311	1275.38	5315.52	14	26	40	104.08	17.8	19.236	4519.8	4309.70588235294	50645	94.5009379010761	195.294706859939	718684	521156	544405	1784245	372	14.3125783535311	7.4174676138738	5.97576264103636	0.43877977434183	0.605933974091099	3.71918094442123	16.1721688257417	6.74885081487672	150.163811115754	108.891767655662	113.749477643126	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2011	Coastal	4.8	187606	39084	49775.06	62	35.5	32	2.4	2.1	18.2	74.6	32.3	27	-21.78180551	Rep	2037	2660	1249.74	5250.4	14	21	35	97.44	20.06	22.3382	5092.9	4975.67843137255	50645	94.7773719024583	196.342957486881	651032	521337	609288	1781657	371	12.9166666666667	7.39583333333333	6.66666666666667	0.4375	0.5	3.79166666666667	15.5416666666667	6.72916666666667	135.631666666667	108.611875	126.935	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2012	Coastal	4.817	189246	39287	50379.26	52.1	35	35.5	1.8	1.8	20.2	67	31.9	25.5	-21.78180551	Rep	2037	2202	1287.84	4644.16	14	19	33	95.16	19.86	22.6204	5007.2	4850.32941176471	50645	95.1130417612795	197.361199995736	547004	513993	677380	1738377	360	10.8158604940835	7.26593315341499	7.36973219846377	0.373676562175628	0.373676562175628	4.19348141997094	13.9090720365373	6.62237907411252	113.556985675732	106.703965123521	140.622794270293	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2013	Coastal	4.832	191370	39604	50390.74	53.8	33.9	32.7	2.2	1.8	20.3	64.7	31.4	24.9	-22.43245707	Rep	1719	2818	1101.04	5465.1	19	12	31	97.32	18.89	22.1752	4961.6	4867.92941176471	50645	95.4092210484747	198.298906636473	565051	492294	625869	1683214	348	11.1341059602649	7.01572847682119	6.76738410596027	0.372516556291391	0.455298013245033	4.20115894039735	13.3899006622517	6.49834437086093	116.939362582781	101.882036423841	129.525869205298	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2014	Coastal	4.844	189886	39200	51197.88	54.8	33.8	34	2.4	1.9	21.4	65.5	31.3	25.3	-22.43245707	Rep	1829	3128	1065.9	5530.84	10	13	23	83.44	18.62	22.1126	4971.3	4916.12352941177	50645	95.6461644782308	199.228308844972	575912	490328	650570	1716810	354	11.3129644921552	6.97770437654831	7.01899256812552	0.392237819983485	0.495458298926507	4.41783649876135	13.5218827415359	6.4616019818332	118.891824938068	101.223781998348	134.304293971924	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2015	Coastal	4.855	191335	39409	51973.52	47.1	35.4	36.6	2.1	2.2	20.2	62.4	32.3	24.6	-22.43245707	Rep	2088	2421	1230.52	4984.78	4	13	17	80.78	15.69	17.9764	4117.6	3909.30784313726	50645	95.863362622174	200.03863987351	494311	511742	701582	1707635	351	9.70133882595263	7.29145211122554	7.53861997940268	0.453141091658084	0.43254376930999	4.16065911431514	12.8527291452111	6.6529351184346	101.814830072091	105.405149330587	144.50710607621	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2016	Coastal	4.867	194284	39918	52066.38	39.1	37.6	37.4	1.9	2.2	20.3	55.6	34.1	23.4	-22.43245707	Rep	2305	2349	1306.5	4767.44	0	13	13	88.86	14.85	16.5642	3951.3	3538.97647058824	50645	96.1003060519301	200.850580112926	410168	538953	715033	1664154	341	8.03369632216971	7.72549825354428	7.68440517772755	0.452023833983974	0.390384220258886	4.17094719539758	11.4238750770495	7.00636942675159	84.2753236079721	110.736182453257	146.914526402301	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2017	Coastal	4.878	197567	40501	52622.04	36.1	37	35.6	1.7	2.1	20.1	51	33.7	22.3	-28.74828719	Rep	1922	2123	1163.24	4809.84	0	14	14	85.98	15.97	17.916	4191.2	3850.19411764706	50645	96.3175041958732	201.603926895139	378890	530370	681208	1590468	326	7.40057400574006	7.58507585075851	7.29807298072981	0.43050430504305	0.34850348503485	4.12054120541205	10.4551045510455	6.90856908569086	77.6732267322673	108.726937269373	139.649036490365	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2018	Coastal	4.892	200801	41046	53597.7	35.9	36.1	40.3	2.3	2.4	20.9	53.9	32.9	23	-28.74828719	Rep	2251	2686	1338.6	5272.34	43	14	57	89.9	16.7	19.3318	4487	4291.2137254902	50645	96.5939381972554	202.279628777154	377152	518687	771194	1667033	340	7.33851185609158	7.37939493049877	8.23793949304988	0.490596892886345	0.470155355682747	4.27228127555192	11.0179885527392	6.72526573998365	77.0956663941128	106.027596075225	157.643908421913	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2019	Coastal	4.908	203384	41439	54325.96	30.2	36.9	39.1	2	2.2	19.7	48.5	33.8	21.6	-28.74828719	Rep	2291	2390	1250.52	5348.12	57	16	73	103.16	16.38	18.6638	4340.3	4110.93529411765	50645	96.9098627702636	202.756197312216	317180	529319	748731	1595230	325	6.15321923390383	7.51833740831296	7.96658516707416	0.448247758761206	0.407497962510187	4.01385493072535	9.88182559087205	6.88671556642217	64.6251018744906	107.848207008965	152.553178484108	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2020	Coastal	5.025	196906	39185	51890.3	24.5	36.6	37.3	1.9	2.1	18.1	42.7	33.6	19.6	-28.74828719	Rep	1989	2279	1248.86	4890.32	35	15	50	98.78	14.85	17.0628	3693.5	3386.77647058824	50645	99.220061210386	206.454118937395	256687	525878	714871	1497436	297	4.87562189054726	7.28358208955224	7.4228855721393	0.417910447761194	0.378109452736318	3.60199004975124	8.49751243781095	6.6865671641791	51.0819900497512	104.652338308458	142.262885572139	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AL	Alabama	2021	Coastal	5.05	209979	41580	54651.36	29.6	40.2	38.6	2.1	2.3	19.6	47.2	37.2	21.5	-25.4	Rep	1893	2389	1255.84	4869.6	7	19	26	112.52	17.84	20.574	4796.9	4351.23529411765	50645	99.7136933557113	206.761006367797	309791	580020	739546	1629357	322	5.86138613861386	7.96039603960396	7.64356435643564	0.455445544554455	0.415841584158416	3.88118811881188	9.34653465346535	7.36633663366337	61.3447524752475	114.855445544554	146.444752475248	Poor	Low_hdays	High_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	1997	Coastal	0.613	42211	68859	41476.18	1.1	18.3	21.8	1.7	2.5	20.8	2.7	13.5	67.3	-20.85700501	Rep	15	9956	990.12	5472.02	7	6	13	88.7	6.74	9.0624	3706.5	2183.80196078431	570641	1.07423055826693	178.166945607596	11719	256040	425394	693153	1130	1.79445350734095	29.8531810766721	35.5628058727569	4.07830342577488	2.77324632952692	33.931484502447	4.40456769983687	22.0228384991843	19.1174551386623	417.68352365416	693.954323001631	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	1998	Coastal	0.62	41096	66283	42624.14	1.6	18.5	22.2	1.6	2.7	21.3	2.9	13.7	68.1	-20.85700501	Rep	10	10527	1221.34	4833.28	4	3	7	87.46	5.8	8.459	3173.9	2011.34705882353	570641	1.08649746513132	179.746327352354	16471	258658	434437	709566	1144	2.58064516129032	29.8387096774194	35.8064516129032	4.35483870967742	2.58064516129032	34.3548387096774	4.67741935483871	22.0967741935484	26.5661290322581	417.190322580645	700.704838709677	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	1999	Coastal	0.625	40591	64945	43908.46	1.6	19.7	21.6	1.9	2.8	20.3	3	14.8	68.58	-20.85700501	Rep	19	11591	1121.18	5000.2	0	6	6	84.12	6.17	8.7824	3508.8	2123.92941176471	570641	1.09525954146302	181.395990598757	16394	275510	422817	714721	1143	2.56	31.52	34.56	4.48	3.04	32.48	4.8	23.68	26.2304	440.816	676.5072	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2000	Coastal	0.628	39407	62750	45035.54	1.6	19.6	22.4	1.7	2.7	20.2	3.2	15.7	69.39	-20.85700501	Rep	4	10363	1096.48	5322.76	0	7	7	86.06	8.03	10.5014	4525.1	2574.42156862745	570641	1.10051678726204	183.093000477138	16455	275255	437972	729682	1161	2.54777070063694	31.2101910828025	35.6687898089172	4.29936305732484	2.70700636942675	32.1656050955414	5.09554140127389	25	26.2022292993631	438.304140127389	697.407643312102	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2001	Coastal	0.634	40959	64604	45094.12	1.5	20	21	1.8	2.5	20.3	3.3	14.7	67.12	-35.87389713	Rep	5	10598	1116.62	5075.8	6	0	6	90.08	8.18	10.9236	4395	2580.99607843137	570641	1.11103127886009	184.57483362918	15911	289334	413049	718294	1132	2.36593059936909	31.5457413249211	33.1230283911672	3.94321766561514	2.8391167192429	32.018927444795	5.20504731861199	23.186119873817	25.096214511041	456.362776025237	651.496845425867	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2002	Coastal	0.642	42979	66945	45644.56	1.6	19.7	21.5	1.6	2.1	20.7	3.3	15	66.6	-35.87389713	Rep	11	9959	1208.78	5216.14	4	9	13	86.52	7.78	10.3344	3931.1	2444.79803921569	570641	1.12505060099082	186.046846831836	16429	277400	420808	714637	1113	2.49221183800623	30.6853582554517	33.4890965732087	3.27102803738318	2.49221183800623	32.2429906542056	5.14018691588785	23.3644859813084	25.5903426791277	432.08722741433	655.464174454829	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2003	Coastal	0.648	42355	65362	46520.34	1.2	20.4	21.3	1.7	1.9	20.5	3	15.8	66.2	-35.87389713	Rep	28	10163	1110	5364.18	8	0	8	83.46	9.08	11.523	4343.9	2731.26078431373	570641	1.13556509258886	187.341174859819	12552	285417	415891	713860	1101	1.85185185185185	31.4814814814815	32.8703703703704	2.9320987654321	2.62345679012346	31.6358024691358	4.62962962962963	24.3827160493827	19.3703703703704	440.458333333333	641.807098765432	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2004	Coastal	0.659	44055	66851	47938.68	1.3	23.9	21	1.8	2.2	19.9	3.2	19.2	70.1	-35.87389713	Rep	46	10296	1040.6	5199.5	0	0	0	89.66	11.07	13.0056	6291.9	3150.56470588235	570641	1.15484166051861	188.603482018774	14075	334121	407944	756140	1147	1.97268588770865	36.2670713201821	31.866464339909	3.33839150227618	2.73141122913505	30.1972685887709	4.85584218512898	29.1350531107739	21.3581183611533	507.012139605463	619.034901365706	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2005	Coastal	0.667	45657	68451	49166.98	1.3	23.8	22.3	1.8	2.1	21.3	3.2	19	71.2	-26.45256596	Rep	14	10098	1209.9	5189.64	8	0	8	88.58	13.99	15.5804	7820.5	3777.48235294118	570641	1.16886098264934	189.600863237592	13994	333091	434704	781789	1172	1.94902548725637	35.6821589205397	33.4332833583208	3.14842578710645	2.69865067466267	31.9340329835082	4.7976011994003	28.4857571214393	20.9805097451274	499.386806596702	651.730134932534	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2006	Coastal	0.675	49190	72874	50147.58	1.4	24.6	19.4	2.2	2.4	18.2	3.5	19.2	67.3	-26.45256596	Rep	2	11267	1169.02	4884.82	14	0	14	91.3	16.61	17.5066	9060.2	4183.70392156863	570641	1.18288030478006	190.617610992085	14981	342272	375719	732972	1085	2.07407407407407	36.4444444444444	28.7407407407407	3.55555555555556	3.25925925925926	26.962962962963	5.18518518518519	28.4444444444444	22.1940740740741	507.06962962963	556.620740740741	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2007	Coastal	0.68	51721	76060	50533.24	1.3	23.2	19.2	1.8	2.2	18.3	3.3	18	64.2	-26.45256596	Rep	13	10813	1228.26	5164.58	33	10	43	105.14	17.94	18.4852	9219.5	4448.66274509804	570641	1.19164238111177	191.656045482065	13662	323089	372186	708937	1042	1.91176470588235	34.1176470588235	28.2352941176471	3.23529411764706	2.64705882352941	26.9117647058824	4.85294117647059	26.4705882352941	20.0911764705882	475.130882352941	547.332352941177	Rich	High_hdays	Low_cdays	Low_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2008	Coastal	0.687	51252	74602	50263.36	1.4	20	17.7	1.8	2.4	16.2	3.3	15.5	56.9	-26.45256596	Rep	7	11628	1077.4	5484.22	9	23	32	113	23.91	21.6806	10981.6	5054.39411764706	570641	1.20390928797615	192.886972390763	14705	278725	343938	637368	927	2.03784570596798	29.1120815138282	25.764192139738	3.49344978165939	2.62008733624454	23.5807860262009	4.80349344978166	22.5618631732169	21.4046579330422	405.713245997089	500.637554585153	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2009	Coastal	0.699	56215	80422	48722.68	1.4	18.3	17.7	1.8	2.19	16.5	3.2	13.7	53.3	-22.12956983	Rep	17	11023	1018.6	5450.84	59	29	88	121.62	18.22	17.508	7851.2	3821.13725490196	570641	1.22493827117224	194.082993440119	14505	264885	343971	623361	891	2.00286123032904	26.1802575107296	25.3218884120172	3.13304721030043	2.57510729613734	23.6051502145923	4.57796852646638	19.5994277539342	20.7510729613734	378.948497854077	492.090128755365	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2010	Coastal	0.714	54602	76473	49301.36	1.4	18.5	17.2	1.7	2.6	15.9	3	13.9	52	-22.12956983	Rep	10	10624	1275.38	5315.52	36	0	36	104.08	20.56	19.236	8851.9	4309.70588235294	570641	1.25122450016736	195.294706859939	14548	272455	334978	621981	871	1.96078431372549	25.9103641456583	24.0896358543417	3.64145658263305	2.38095238095238	22.2689075630252	4.20168067226891	19.4677871148459	20.375350140056	381.589635854342	469.156862745098	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2011	Coastal	0.722	55280	76565	49775.06	1.5	18.1	17.5	1.7	2.8	16.1	3.2	13.3	51.4	-22.12956983	Rep	6	10909	1249.74	5250.4	55	11	66	97.44	25.22	22.3382	10838.3	4975.67843137255	570641	1.26524382229808	196.342957486881	15481	268848	339819	624148	864	2.07756232686981	25.0692520775623	24.2382271468144	3.8781163434903	2.35457063711911	22.2991689750693	4.43213296398892	18.4210526315789	21.4418282548476	372.365650969529	470.663434903047	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2012	Coastal	0.731	58284	79731	50379.26	1.5	16.8	17.8	1.8	2.7	16.5	3.1	12.1	49.5	-22.12956983	Rep	5	11702	1287.84	4644.16	50	6	56	95.16	25.58	22.6204	10368.2	4850.32941176471	570641	1.28101555969515	197.361199995736	15521	250063	347228	612812	838	2.05198358413133	22.9822161422709	24.3502051983584	3.69357045143639	2.46238030095759	22.5718194254446	4.24076607387141	16.5526675786594	21.2325581395349	342.083447332421	475.004103967168	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2013	Coastal	0.738	55354	75005	50390.74	1.4	15.6	17	1.6	2.4	16.5	2.6	11	46.1	-14.63058096	Rep	54	10397	1101.04	5465.1	58	4	62	97.32	25.11	22.1752	9432.2	4867.92941176471	570641	1.29328246655954	198.298906636473	14819	230765	332631	578215	783	1.8970189701897	21.1382113821138	23.0352303523035	3.2520325203252	2.1680216802168	22.3577235772358	3.5230352303523	14.9051490514905	20.079945799458	312.689701897019	450.719512195122	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2014	Coastal	0.737	54188	73525	51197.88	1.7	15.3	16.9	1.5	2.4	16.1	2.9	11	46	-14.63058096	Rep	7	9582	1065.9	5530.84	20	3	23	83.44	24.95	22.1126	9328.3	4916.12352941177	570641	1.29153005129319	199.228308844972	18225	226102	329274	573601	778	2.30664857530529	20.7598371777476	22.9308005427408	3.25644504748982	2.03527815468114	21.8453188602442	3.9348710990502	14.9253731343284	24.7286295793758	306.78697421981	446.776119402985	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2015	Coastal	0.738	54741	74174	51973.52	1.9	16.1	17.1	1.6	2.6	16.2	3	11.7	47.5	-14.63058096	Rep	34	9810	1230.52	4984.78	2	6	8	80.78	19.06	17.9764	7519	3909.30784313726	570641	1.29328246655954	200.03863987351	19511	235839	333936	589286	798	2.57452574525745	21.8157181571816	23.1707317073171	3.5230352303523	2.1680216802168	21.9512195121951	4.0650406504065	15.8536585365854	26.4376693766938	319.565040650407	452.487804878049	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2016	Coastal	0.743	54247	73010	52066.38	1.6	14.9	16.9	1.5	2	16	2.8	11.1	45	-14.63058096	Rep	23	9286	1306.5	4767.44	27	3	30	88.86	17	16.5642	6142.7	3538.97647058824	570641	1.30204454289124	200.850580112926	16613	219837	330883	567333	763	2.15343203230148	20.0538358008075	22.7456258411844	2.69179004037685	2.01884253028264	21.5343203230148	3.76850605652759	14.9394347240915	22.3593539703903	295.877523553163	445.333781965007	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2017	Coastal	0.741	54130	73049	52622.04	1.6	14.6	17.6	1.7	2.1	16	2.8	11.2	45.5	-16.77130942	Rep	19	10451	1163.24	4809.84	0	0	0	85.98	18.98	17.916	6802.2	3850.19411764706	570641	1.29853971235856	201.603926895139	16376	216452	343899	576727	778	2.15924426450742	19.7031039136302	23.7516869095817	2.83400809716599	2.29419703103914	21.5924426450742	3.77867746288799	15.114709851552	22.0998650472335	292.107962213225	464.101214574899	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
AK	Alaska	2018	Coastal	0.737	53250	72252	53597.7	1.7	15.2	17.7	1.5	2	16.5	2.7	11.8	46.8	-16.77130942	Rep	19	9632	1338.6	5272.34	11	6	17	89.9	22.2	19.3318	7919.9	4291.2137254902	570641	1.29153005129319	202.279628777154	17325	215613	346255	579193	785	2.30664857530529	20.6241519674355	24.0162822252374	2.71370420624152	2.03527815468114	22.3880597014925	3.66350067842605	16.010854816825	23.5074626865672	292.554952510176	469.816824966079	Rich	High_hdays	Low_cdays	High_P	High_Exp	Low_LCV	Low_Density
