Year...1,Party,n()...3,Year...4,HDD,n()...6,Year...7,CDD,n()...9,Year...10,HL_LCV,n()...12,Year...13,HL_Expend,n()...15,Year...16,in_class,n()...18,Year...19,Geography,n()...21
2008,Rep,31,2008,Low_hdays,24,2008,Low_cdays,31,2008,Low_LCV,25,2008,Low_ExP,34,2008,Rich,20,2008,NonCoastal,20
2009,Dem,28,2009,High_hdays,26,2009,High_cdays,16,2009,High_LCV,25,2009,High_Exp,16,2009,Poor,29,2009,Coastal,30
2009,Rep,22,2009,Low_hdays,24,2009,Low_cdays,34,2009,Low_LCV,25,2009,Low_ExP,34,2009,Rich,21,2009,NonCoastal,20
2010,Dem,28,2010,High_hdays,27,2010,High_cdays,20,2010,High_LCV,27,2010,High_Exp,17,2010,Poor,28,2010,Coastal,30
2010,Rep,22,2010,Low_hdays,23,2010,Low_cdays,30,2010,Low_LCV,23,2010,Low_ExP,33,2010,Rich,22,2010,NonCoastal,20
2011,Dem,28,2011,High_hdays,26,2011,High_cdays,20,2011,High_LCV,23,2011,High_Exp,16,2011,Poor,28,2011,Coastal,30
2011,Rep,22,2011,Low_hdays,24,2011,Low_cdays,30,2011,Low_LCV,27,2011,Low_ExP,34,2011,Rich,22,2011,NonCoastal,20
2012,Dem,28,2012,High_hdays,26,2012,High_cdays,20,2012,High_LCV,22,2012,High_Exp,18,2012,Poor,27,2012,Coastal,30
2012,Rep,22,2012,Low_hdays,24,2012,Low_cdays,30,2012,Low_LCV,28,2012,Low_ExP,32,2012,Rich,23,2012,NonCoastal,20
2013,Dem,26,2013,High_hdays,25,2013,High_cdays,16,2013,High_LCV,22,2013,High_Exp,18,2013,Poor,28,2013,Coastal,30
2013,Rep,24,2013,Low_hdays,25,2013,Low_cdays,34,2013,Low_LCV,28,2013,Low_ExP,32,2013,Rich,22,2013,NonCoastal,20
2014,Dem,26,2014,High_hdays,27,2014,High_cdays,18,2014,High_LCV,23,2014,High_Exp,18,2014,Poor,28,2014,Coastal,30
2014,Rep,24,2014,Low_hdays,23,2014,Low_cdays,32,2014,Low_LCV,27,2014,Low_ExP,32,2014,Rich,22,2014,NonCoastal,20
2015,Dem,26,2015,High_hdays,25,2015,High_cdays,19,2015,High_LCV,21,2015,High_Exp,19,2015,Poor,28,2015,Coastal,30
2015,Rep,24,2015,Low_hdays,25,2015,Low_cdays,31,2015,Low_LCV,29,2015,Low_ExP,31,2015,Rich,22,2015,NonCoastal,20
2016,Dem,26,2016,High_hdays,27,2016,High_cdays,20,2016,High_LCV,24,2016,High_Exp,20,2016,Poor,27,2016,Coastal,30
2016,Rep,24,2016,Low_hdays,23,2016,Low_cdays,30,2016,Low_LCV,26,2016,Low_ExP,30,2016,Rich,23,2016,NonCoastal,20
2017,Dem,20,2017,High_hdays,26,2017,High_cdays,17,2017,High_LCV,23,2017,High_Exp,18,2017,Poor,28,2017,Coastal,30
2017,Rep,30,2017,Low_hdays,24,2017,Low_cdays,33,2017,Low_LCV,27,2017,Low_ExP,32,2017,Rich,22,2017,NonCoastal,20
2018,Dem,20,2018,High_hdays,26,2018,High_cdays,20,2018,High_LCV,23,2018,High_Exp,20,2018,Poor,28,2018,Coastal,30
2018,Rep,30,2018,Low_hdays,24,2018,Low_cdays,30,2018,Low_LCV,27,2018,Low_ExP,30,2018,Rich,22,2018,NonCoastal,20
2019,Dem,20,2019,High_hdays,26,2019,High_cdays,20,2019,High_LCV,21,2019,High_Exp,18,2019,Poor,28,2019,Coastal,30
2019,Rep,30,2019,Low_hdays,24,2019,Low_cdays,30,2019,Low_LCV,29,2019,Low_ExP,32,2019,Rich,22,2019,NonCoastal,20
2020,Dem,20,2020,High_hdays,26,2020,High_cdays,16,2020,High_LCV,22,2020,High_Exp,18,2020,Poor,27,2020,Coastal,30
2020,Rep,30,2020,Low_hdays,24,2020,Low_cdays,34,2020,Low_LCV,28,2020,Low_ExP,32,2020,Rich,23,2020,NonCoastal,20
2021,Dem,25,2021,High_hdays,26,2021,High_cdays,18,2021,High_LCV,24,2021,High_Exp,18,2021,Poor,28,2021,Coastal,30
2021,Rep,25,2021,Low_hdays,24,2021,Low_cdays,32,2021,Low_LCV,26,2021,Low_ExP,32,2021,Rich,22,2021,NonCoastal,20
